user_id,sn
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113822
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113956
2c3f49c5-e2da-439f-a1bb-e21963a79c83,106587
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113755
2c3f49c5-e2da-439f-a1bb-e21963a79c83,110596
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113840
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113945
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113918
2c3f49c5-e2da-439f-a1bb-e21963a79c83,66635
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113610
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113650
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112610
2c3f49c5-e2da-439f-a1bb-e21963a79c83,98167
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113881
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113313
2c3f49c5-e2da-439f-a1bb-e21963a79c83,88264
2c3f49c5-e2da-439f-a1bb-e21963a79c83,36603
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113207
2c3f49c5-e2da-439f-a1bb-e21963a79c83,111652
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112782
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113017
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113366
2c3f49c5-e2da-439f-a1bb-e21963a79c83,90115
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113419
2c3f49c5-e2da-439f-a1bb-e21963a79c83,59221
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113246
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113213
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112578
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112460
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113394
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113585
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113830
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113555
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113567
2c3f49c5-e2da-439f-a1bb-e21963a79c83,113965
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112668
2c3f49c5-e2da-439f-a1bb-e21963a79c83,93827
2c3f49c5-e2da-439f-a1bb-e21963a79c83,112874
